id_str,full_text,created_at,favourites_count,statuses_count,followers_count,retweeted,retweet_count,retweeted_text,location,hashtags,user_mentions,symbols,urls
1081401381330706434,@DrTedros @narendramodi @JPNadda Few ultra intelligent don't understand shame on you,Sat Jan 05 04:05:55 +0000 2019,33,242,3,False,0,,Unknown,1,3,0,0
1081401215383207937,"RT @uroobajamal: First set of bills passed by the new and ""most diverse U.S. ever"" includes: maintaining funding for the Departme…",Sat Jan 05 04:05:15 +0000 2019,41545,3059,198,False,3,"First set of bills passed by the new and ""most diverse U.S. ever"" includes: maintaining funding for the Department of Homeland Security. 🙃",Unknown,1,1,0,0
1081400866438086656,This is job to bring to the anyone can use this kind of language not a Congress woman who is Moslem,Sat Jan 05 04:03:52 +0000 2019,131,1473,8,False,0,,Unknown,3,0,0,0
1081400146724880384,RT @girlfrmthepearl: Cheers to the unprecedented amount of making history this month.,Sat Jan 05 04:01:01 +0000 2019,282,73557,663,False,1,Cheers to the unprecedented amount of making history this month.,Unknown,4,1,0,0
1081399073926729728,Cheers to the unprecedented amount of making history this month.,Sat Jan 05 03:56:45 +0000 2019,0,6,2,False,1,,New York USA,4,0,0,0
1081398740508921857,"Congresswoman @RashidaTlaib, can you please show me where Palestine is? I believe your parents lied to you about where their from. Palestine never existed. @DNC @OfficialCBC @realDonaldTrump",Sat Jan 05 03:55:25 +0000 2019,82,364,1178,False,2,,St Louis MO,8,4,0,0
1081397920124096513,@kaitlancollins @ComfortablySmug Everyone’s tough until faced with the reality of what they say. This is who is representing America now,Sat Jan 05 03:52:10 +0000 2019,1073,1356,72,False,0,,Nashville TN,2,2,0,0
1081397554519117826,"Here's a question: In the midst of a , how do you build and the , let alone to help people achieve their dreams?",Sat Jan 05 03:50:43 +0000 2019,105,117,4,False,0,,Unknown,11,0,0,0
1081397475070464001,"Wow, so many memorable images from this week. And to think it only took 243 years for our to start to look like the people it represents. Well, at least for one party.",Sat Jan 05 03:50:24 +0000 2019,1759,1399,57,False,0,,Unknown,1,0,0,0
1081397411141111808,Media Releases | U.S. Customs and Border Protection,Sat Jan 05 03:50:08 +0000 2019,0,1,0,False,0,,United States,5,0,0,1
1081397355755261952,RT @BrianSchmisek: to remain as House Chaplain in new Congress,Sat Jan 05 03:49:55 +0000 2019,8158,11193,1238,False,1,to remain as House Chaplain in new Congress,Chicago ,2,1,0,1
1081396069806891008,to remain as House Chaplain in new Congress,Sat Jan 05 03:44:49 +0000 2019,1118,2417,453,False,1,,Chicago,2,0,0,1
1081392791505301504,"@jasonagastrich Agree, they think we have all the time in the world they're not aware that the muslims are here &amp; we're already under 2 women women have been into right into the fabric of &amp; as a I love a women being in, but not them kind",Sat Jan 05 03:31:47 +0000 2019,5733,40467,2423,False,0,,Unknown,6,1,0,0
1081390889820315649,"Watching the very diverse and very female 116th Congress being sworn in today filled me with pride; particularly @AOC ‘s hoops, and the 12+ different books used!",Sat Jan 05 03:24:14 +0000 2019,18,50,32,False,0,,Pasadena CA,3,1,0,0
1081389900333793280,How the American left is rediscovering morality,Sat Jan 05 03:20:18 +0000 2019,23198,150876,3686,False,0,,Australia,1,0,0,1
1081389600306802689,Tune in to hear the congressional news directly from her. @IndivisibleTeam @TeamPelosi,Sat Jan 05 03:19:06 +0000 2019,39900,40310,1932,False,0,,@IndivisibleGuide Loyalty for Country NOT to Man or Party! #Resist Go to City Hall Update voter registration w/current address #RegisterVote,4,2,0,1
1081387075071401985,This where the legal community should be focusing. Not a 200 + year old constitution that bears no witness to current events. You want him out? This is the path....,Sat Jan 05 03:09:04 +0000 2019,31228,7337,337,False,0,,Ontario Canada 🇨🇦,3,0,0,1
1081386728001323009,"may this incoming full of new, young be as ineffective as the Tea Party 'wave' ultimately was",Sat Jan 05 03:07:41 +0000 2019,0,12295,95,False,0,,United States,6,0,0,0
1081386555418136577,Ok seriously Overworked and stressed out is a safety issue just as much as overworked and stressed out Working these people without pay is ridiculous,Sat Jan 05 03:07:00 +0000 2019,902,2891,79,False,0,,San Diego CA,4,0,0,1
1081384741851594752,RT @NassauCountyLP: Is the really an effective or professional way to Govern? …,Sat Jan 05 02:59:48 +0000 2019,6064,15878,125,False,8,Is the really an effective or professional way to Govern?,Unknown,5,1,0,0
1081384449399435264,Trump Hating Cows Go Mad! Watch what happens when innocent Trump Voters 🇺🇸 try to pass through a field of Liberal Cows that have Trump Derangement Syndrome @realDonaldTrump @greggutfeld @ScottAdamsSays @GovMikeHuckabee,Sat Jan 05 02:58:38 +0000 2019,133,162,3135,False,0,,Utah USA,4,4,0,0
1081384197598658560,Never thought a fiery screech could sound so sweet -- then I heard the careening off the tracks.,Sat Jan 05 02:57:38 +0000 2019,7252,15120,114340,False,173,,Brooklyn,3,0,0,0
1081383412680851457,start now with ! First Order of Business: Making It Easier to Vote and Harder to Buy Elections ⁦@MotherJones⁩ ⁦@SpeakerPelosi⁩,Sat Jan 05 02:54:31 +0000 2019,2260,1604,910,False,0,,Point Breeze Philadelphia,4,2,0,1
1081380060513239041,"Watch ""Nancy Pelosi gets standing ovation to her ack of the in 1st leader of the house speech"" ""They know.. the ppl lead the Congress.. Congress MUST act"" Thk u .@SpeakerPelosi A Immediately pls",Sat Jan 05 02:41:12 +0000 2019,69217,119941,4595,False,1,,Canada,4,1,0,1
1081378781263101954,"@nancychatter @LeoRules1 @RealKyleMorris @realDonaldTrump @POTUS reports, allegations, investigation, all meaningless until you obtain a conviction. I am not defending @Trump by any means but unless you have then dont speculate. Remember, can only impeach according to the, wait for it, the .",Sat Jan 05 02:36:07 +0000 2019,504,805,32,False,0,,Bemidji MN,4,6,0,0
1081378715475546112,I have high hopes for the newbies in Congress and I hope they don't disappoint. They could go down in the history books if they serve the people.,Sat Jan 05 02:35:51 +0000 2019,385,95,13,False,0,,Chicago IL,2,0,0,0
1081377065650319361,Have a good read of the today introduced HR1 today in the House. A huge step to cement democracy and strengthen the voting rights act.,Sat Jan 05 02:29:18 +0000 2019,76,551,41,False,0,,Virginia Beach,1,0,0,0
1081376679275032576,"First set of bills passed by the new and ""most diverse U.S. ever"" includes: maintaining funding for the Department of Homeland Security. 🙃",Sat Jan 05 02:27:46 +0000 2019,8240,19383,2281,False,3,,Unknown,3,0,0,2
1081375624021843969,Picture 1: House Republicans Picture 2: House Democrats,Sat Jan 05 02:23:34 +0000 2019,1372,2153,37,False,0,,seventh cubicle of hell,1,0,0,0
1081375521785679872,@starcrosswolf @edinssister @RashidaTlaib This country has hit a All Time Low by allowing people such as this to infiltrate our government! should be ashamed! @FoxNews @CNN @seanhannity @SenateGOP @WhiteHouse @realDonaldTrump 🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸🇺🇸👍🏻,Sat Jan 05 02:23:10 +0000 2019,816,1624,98,False,9,,Odum Ga,1,9,0,0
1081374830434443264,"Why does it matter if a woman in Congress is likable. No one has ever given a crap if the men are likable or McConnell and Ted Cruz wouldn't be in office. Fuck being likable. Ladies, do your job. That's all you've got to do.",Sat Jan 05 02:20:25 +0000 2019,1691,454,72,False,0,,Unknown,2,0,0,0
1081374666583728128,@realDonaldTrump @VP @JudicialWatch I AM SHOOK! McCarthy could see today! If not why was the McCarthy Act made? Think..... Now we see a sworn in Muslim Women to Congress calling our POTUS a Mother F*cker!,Sat Jan 05 02:19:46 +0000 2019,71082,40622,5131,False,0,,Corruption CA USA  ,4,3,0,0
1081374398593015808,Wow. Just wow.,Sat Jan 05 02:18:42 +0000 2019,18661,1221,301,False,0,,Washington DC,3,0,0,1
1081374380658212864,Welcome to the United States Romper Room.,Sat Jan 05 02:18:37 +0000 2019,9817,1320,1079,False,0,,Unknown,3,0,0,1
1081373584034021376,RT @theRab: America today,Sat Jan 05 02:15:28 +0000 2019,32751,25753,643,False,1,America today,Triangle NC,2,1,0,0
1081373389779021826,America today,Sat Jan 05 02:14:41 +0000 2019,8804,75925,8522,False,1,,North Carolina USA,2,0,0,0
1081373319767752705,"Women are judged &amp; scrutinized for their appearance. @AOC is amazing for refusing to give in to societal pressures regarding how women *should* dress. Rock the red polish &amp; hoops! It doesn’t devalue your passion, integrity, &amp; intelligence",Sat Jan 05 02:14:25 +0000 2019,493,4763,1721,False,1,,Chicago IL,3,1,0,0
1081373061671280640,He’s got it going!,Sat Jan 05 02:13:23 +0000 2019,217,48987,2300,False,0,,Oklahoma USA,4,0,0,1
1081372787686674432,"Congress party of India, playing flying jet in parliament. Are you chosen for this purpose? We sends REPRESENTATIVES TO discuss our problems with govt, not to play Its like what can we expect from a party led by child",Sat Jan 05 02:12:18 +0000 2019,354,983,172,False,0,,bhubaneswar,4,0,0,0
1081371751404261376,Get this shit done!,Sat Jan 05 02:08:11 +0000 2019,16918,5171,77,False,0,,Boston MA,2,0,0,1
1081371724438851584,@SanMay96 Ikr! So educated and well prepared to serve in the,Sat Jan 05 02:08:04 +0000 2019,953,1853,43,False,0,,in your mom's house,4,1,0,0
1081371089891139584,"&lt;insert self promoting comment by here&gt; has arrived, not Congress 1999.",Sat Jan 05 02:05:33 +0000 2019,1337,1162,51,False,0,,United States,2,0,0,1
1081369736204570624,"Dear , Please be the kind of people that our children's children will look back upon with pride and respect. Change the tone of the conversation and let's do the business of We the People.",Sat Jan 05 02:00:10 +0000 2019,644,258,87,False,0,,Seattle,2,0,0,0
1081369709659021318,"For Nancy Pelosi and the new women in Congress, fashion was a defiant statement of purpose — and resistance @washingtonpost",Sat Jan 05 02:00:04 +0000 2019,79608,71165,35038,False,0,,Washington DC,2,1,0,1
1081366806651174912,NANCY PELOSI IS NOT MY SPEAKER OF THE HOUSE!,Sat Jan 05 01:48:32 +0000 2019,1315,935,4758,False,52,,Unknown,8,0,0,0
1081366128612593665,"Idea: abolish wasteful, bureaucratic nightmare called, ""Department of Education"" immediately, use the $ saved to fully fund a border wall + accessories and for general US infrastructure.",Sat Jan 05 01:45:50 +0000 2019,54247,43124,4717,False,0,,San Francisco Bay Area,3,0,0,0
1081364377717084160,Take a look at this article by The Washington Times about @SpeakerPelosi ! You actually spat in someones face? 😐 Of all the things you could have done I atleast thought you had some respect for people!,Sat Jan 05 01:38:53 +0000 2019,20,318,9,False,0,,Unknown,2,1,0,1
